3001,382,2704,5672,11759
3133,309,1711,4439,9592
3239,336,1470,5114,10159
3021,365,1906,5878,11170
3217,187,2467,4267,10138
3066,393,1832,5178,10469
3188,211,2802,3728,9929
3170,152,3147,3928,10397
3220,152,3009,3502,9883
3015,315,3065,4403,10798
3077,279,2932,3353,9641
3057,306,1940,4803,10106
3158,204,3235,4930,11527
2966,400,1802,4750,9918
3032,346,3008,3921,10307
3253,219,1612,4497,9581
3071,342,2794,4177,10384
3152,266,3107,4052,10577
2984,326,2876,4418,10604
3271,184,2723,4635,10813
2987,353,2090,4566,9996
3258,216,1567,4164,9205
3021,319,2965,5367,11672
3206,273,1806,4673,9958
3222,143,3326,4189,10880
3131,223,2027,5624,11005
3228,211,2660,3332,9431
3189,260,2087,5100,10636
3108,302,1645,5008,10063
3071,413,1292,4621,9397
3078,282,2865,4116,10341
2917,345,2593,5184,11039
3176,171,2151,5039,10537
3180,227,2562,4928,10897
3128,177,3008,4631,10944
3112,265,3081,3818,10276
3092,274,2880,5372,11618
3091,263,3086,3456,9896
3152,229,3002,4769,11152
3036,330,1805,5375,10546
3054,333,2215,5964,11566
3379,232,1368,3049,8028
3163,234,2663,3475,9535
3070,279,2783,4811,10943
2941,356,2736,5541,11574
3110,222,3137,5361,11830
3172,271,2468,3515,9426
2964,393,2578,6061,11996
3185,228,1888,4142,9443
3038,293,2597,5476,11404
3041,270,2156,5325,10792
3044,283,2828,5041,11196
3220,222,3227,4220,10889
3301,160,2670,4053,10184
3042,274,2985,4692,10993
2983,432,1845,4736,9996
3203,217,2969,4898,11287
3179,192,2170,5086,10627
3093,273,2832,3285,9483
3262,204,1456,4782,9704
3085,300,2669,3943,9997
3076,254,2581,4453,10364
3149,277,1591,4608,9625
3039,347,2418,5947,11751
3254,178,1976,3501,8909
2962,345,2879,4637,10823
3083,311,3068,4601,11063
3050,335,2844,4561,10790
3012,421,1949,5145,10527
2945,361,2774,5366,11446
2985,299,2697,5750,11731
3095,258,2987,4821,11161
2993,369,1602,5289,10253
3144,227,2259,3543,9173
3010,335,2490,5835,11670
3148,265,2764,4011,10188
3191,229,2959,4593,10972
3092,201,3074,3760,10127
2969,361,2524,5248,11102
2950,354,1635,3915,8854
3124,213,2717,4412,10466
3228,170,1976,4825,10199
3286,123,2880,3097,9386
3110,217,2667,3986,9980
3123,250,2346,4135,9854
3084,288,3127,4498,10997
3032,319,2801,5030,11182
3004,288,2404,5204,10900
3065,262,2993,3833,10153
3061,417,1498,5912,10888
3156,379,1836,4291,9662
3198,209,1996,3776,9179
3160,234,2778,5174,11346
3095,211,3209,5223,11738
3045,321,3067,5830,12263
3023,318,2362,4906,10609
3077,256,2404,6003,11740
3137,342,1646,4768,9893
3024,345,1713,5177,10259
2993,413,1592,4719,9717
