core_genome, soft_core_genome, shell_genome, cloud_genome, pangenome
3951,163,1727,3281,9122
4059,182,1489,2685,8415
3956,200,1820,2592,8568
3891,278,1613,3058,8840
3967,220,1664,2558,8409
4017,219,1557,2469,8262
3880,293,1433,3286,8892
3953,209,1813,1998,7973
3823,309,1747,3790,9669
4025,176,1698,2688,8587
3990,212,1711,2226,8139
3918,251,1664,2422,8255
3997,152,1633,2641,8423
3949,197,1491,2591,8228
4013,171,1489,2461,8134
3929,189,1696,2477,8291
3814,313,1547,3043,8717
3844,311,1666,2593,8414
3976,156,1679,2637,8448
3884,251,1535,2041,7711
3960,207,1797,2598,8562
3934,287,1524,2138,7883
4022,157,1587,1877,7643
3947,219,1551,1855,7572
3893,227,1580,2300,8000
3942,199,1621,2505,8267
3866,256,1459,3043,8624
3915,302,1534,2509,8260
3998,208,1652,2927,8785
3921,245,1636,2399,8201
3857,332,1501,2825,8515
3988,210,1636,2458,8292
3917,261,1565,2922,8665
3951,240,1580,2718,8489
3922,242,1502,2134,7800
3911,260,1534,2204,7909
3928,231,1510,2914,8583
3997,196,1654,2922,8769
4064,143,1563,3245,9015
4023,160,1567,1828,7578
3997,206,1523,2579,8305
4025,188,1465,2725,8403
3937,215,1592,3446,9190
4016,109,1637,2139,7901
3909,229,1554,2827,8519
3965,269,1393,2352,7979
3958,173,1661,2557,8349
4004,205,1471,2825,8505
3953,228,1482,2670,8333
3966,223,1523,2754,8466
3839,247,1761,2853,8700
3986,224,1546,2947,8703
3883,242,1643,2533,8301
3902,265,1625,3159,8951
3985,205,1593,2971,8754
3971,167,1875,2582,8595
4001,188,1485,2719,8393
3997,177,1493,3318,8985
4001,189,1551,3080,8821
3884,318,1502,2039,7743
3979,195,1645,2948,8767
3832,341,1517,2401,8091
3928,249,1493,2977,8647
3931,186,1628,2682,8427
4004,191,1703,2459,8357
4077,138,1568,2118,7901
3905,201,1572,2655,8333
3829,305,1579,2847,8560
3970,237,1487,3338,9032
3897,224,1626,3471,9218
3977,123,1676,2078,7854
3885,291,1551,2532,8259
3966,220,1868,2283,8337
4007,135,1707,1920,7769
4051,159,1505,2061,7776
3962,219,1516,2900,8597
3943,245,1633,2734,8555
3970,203,1516,3018,8707
4006,181,1457,3608,9252
4034,130,1592,2649,8405
4054,185,1376,2210,7825
3980,168,1593,2942,8683
3920,220,1542,3070,8752
4028,172,1813,2332,8345
3980,224,1522,2646,8372
3933,255,1552,2355,8095
3935,202,1746,2209,8092
4095,92,1586,3321,9094
4071,169,1448,2491,8179
4019,139,1571,2006,7735
3944,190,1637,2604,8375
3970,194,1581,2425,8170
3898,286,1749,2618,8551
3985,187,1571,2882,8625
3896,275,1775,3082,9028
3967,249,1398,2570,8184
3955,240,1545,2542,8282
3863,289,1530,3191,8873
4053,93,1708,2311,8165
3969,213,1523,2937,8642
