core_genome, soft_core_genome, shell_genome, cloud_genome, pangenome
2105,76,988,1175,4344
2065,95,1001,1253,4414
2115,79,977,933,4104
2107,81,920,981,4089
2099,92,922,1290,4403
2170,52,910,690,3822
2122,86,819,849,3876
2142,54,855,723,3774
2153,37,1054,926,4170
2110,68,942,1101,4221
2135,72,932,1239,4378
2111,50,784,1380,4325
2095,78,1091,1356,4620
2098,72,1005,1051,4226
2121,76,852,1269,4318
2158,70,887,846,3961
2109,100,836,856,3901
2138,73,808,1104,4123
2131,44,1024,952,4151
2139,64,865,997,4065
2174,26,916,807,3923
2098,74,1002,1129,4303
2115,74,755,1049,3993
2105,70,993,1235,4403
2115,96,796,1131,4138
2144,72,792,1078,4086
2155,26,875,1070,4126
2119,67,870,1295,4351
2122,55,972,925,4074
2135,51,969,1023,4178
2139,38,937,1035,4149
2143,77,840,1185,4245
2164,72,749,1091,4076
2107,70,997,1262,4436
2111,74,888,1216,4289
2144,37,946,1222,4349
2106,57,1014,1382,4559
2116,74,819,1089,4098
2116,63,840,1248,4267
2113,50,936,1219,4318
2107,61,914,1071,4153
2079,73,942,1346,4440
2140,39,901,925,4005
2167,53,1002,808,4030
2137,84,819,1026,4066
2108,72,957,1049,4186
2108,69,934,1100,4211
2093,82,858,1061,4094
2106,67,949,1251,4373
2128,60,911,930,4029
2155,70,944,1109,4278
2145,54,946,1121,4266
2148,44,915,908,4015
2118,87,956,1339,4500
2135,66,888,865,3954
2106,58,954,1165,4283
2058,98,967,1116,4239
2115,56,880,1014,4065
2136,51,823,947,3957
2154,85,875,888,4002
2141,69,888,1051,4149
2153,84,848,1057,4142
2124,41,1057,871,4093
2134,94,920,960,4108
2104,72,972,1039,4187
2105,94,880,991,4070
2152,77,827,1028,4084
2114,58,914,1256,4342
2128,81,805,914,3928
2116,66,964,1057,4203
2129,46,934,921,4030
2098,80,975,1047,4200
2130,69,945,817,3961
2168,78,795,1037,4078
2073,90,795,1174,4132
2104,82,804,1215,4205
2177,57,934,766,3934
2134,46,948,998,4126
2145,55,819,1162,4181
2082,88,904,1490,4564
2118,86,875,1051,4130
2106,71,929,982,4088
2144,48,880,779,3851
2135,60,820,1040,4055
2104,100,699,1117,4020
2109,84,874,999,4066
2138,60,869,1008,4075
2126,61,907,1192,4286
2105,61,896,926,3988
2134,59,983,742,3918
2136,44,919,1059,4158
2141,80,828,1080,4129
2099,82,935,1066,4182
2124,72,896,1020,4112
2121,55,990,1216,4382
2125,89,771,1076,4061
2129,79,875,912,3995
2099,93,945,1325,4462
2172,65,814,929,3980
2178,27,773,870,3848
