core_genome, soft_core_genome, shell_genome, cloud_genome, pangenome
3337,217,840,745,5139
3242,314,799,715,5070
3184,230,1010,801,5225
3245,294,850,725,5114
3261,205,927,743,5136
3231,212,1000,754,5197
3293,129,1030,716,5168
3251,284,840,741,5116
3343,217,817,713,5090
3212,213,1032,772,5229
3273,254,886,733,5146
3226,271,934,761,5192
3254,148,1075,805,5282
3388,161,826,631,5006
3188,330,889,850,5257
3228,313,839,732,5112
3233,271,942,783,5229
3228,180,1056,764,5228
3275,203,926,771,5175
3327,130,969,610,5036
3266,150,1045,751,5212
3262,299,803,715,5079
3200,315,902,795,5212
3174,326,913,826,5239
3302,204,935,702,5143
3311,147,977,665,5100
3392,201,790,653,5036
3413,175,767,590,4945
3314,151,935,616,5016
3202,204,1059,743,5208
3272,267,831,704,5074
3273,151,1042,658,5124
3255,267,907,742,5171
3250,264,906,714,5134
3201,295,927,863,5286
3203,206,1031,781,5221
3254,299,818,803,5174
3261,142,1061,808,5272
3200,321,903,839,5263
3181,233,1006,725,5145
3375,71,964,578,4988
3203,309,893,847,5252
3266,247,887,726,5126
3221,196,1036,762,5215
3169,322,949,840,5280
3380,60,973,591,5004
3297,229,884,662,5072
3293,141,1027,633,5094
3211,317,886,794,5208
3265,170,997,731,5163
3259,159,1010,730,5158
3409,156,807,706,5078
3276,179,942,652,5049
3207,342,836,852,5237
3299,249,862,799,5209
3323,226,872,661,5082
3259,175,955,817,5206
3212,195,1052,797,5256
3170,199,1125,880,5374
3219,298,875,894,5286
3338,94,995,683,5110
3306,251,817,763,5137
3183,331,888,791,5193
3393,177,802,565,4937
3322,234,833,660,5049
3325,223,859,661,5068
3193,316,877,838,5224
3186,341,864,824,5215
3255,135,1094,800,5284
3264,255,916,703,5138
3272,253,858,768,5151
3320,127,973,710,5130
3324,255,781,651,5011
3285,114,1060,810,5269
3199,200,1063,823,5285
3292,202,941,751,5186
3446,146,774,591,4957
3151,359,921,889,5320
3354,248,740,691,5033
3232,180,1040,855,5307
3288,212,937,711,5148
3227,259,957,779,5222
3262,187,950,737,5136
3233,293,868,691,5085
3265,145,1050,779,5239
3227,264,918,780,5189
3253,198,972,712,5135
3285,235,918,685,5123
3240,239,987,833,5299
3406,165,810,540,4921
3235,299,840,808,5182
3259,290,847,782,5178
3209,279,970,802,5260
3388,206,764,595,4953
3271,279,837,753,5140
3210,176,1082,733,5201
3306,255,804,629,4994
3300,228,879,715,5122
3263,132,1081,704,5180
3327,249,810,671,5057
